Date,Volume,Adj Close,Stock,Exchange
1/2/2020,135480400,74.33351135,AAPL,NYSE
1/3/2020,146322800,73.61083984,AAPL,NYSE
1/6/2020,118387200,74.19739532,AAPL,NYSE
1/7/2020,108872000,73.84844208,AAPL,NYSE
1/8/2020,132079200,75.03638458,AAPL,NYSE
1/9/2020,170108400,76.63021851,AAPL,NYSE
1/10/2020,140644800,76.80345917,AAPL,NYSE
1/13/2020,121532000,78.44432068,AAPL,NYSE
1/14/2020,161954400,77.38506317,AAPL,NYSE
1/15/2020,121923600,77.05342865,AAPL,NYSE
1/16/2020,108829200,78.01863098,AAPL,NYSE
1/17/2020,137816400,78.88237,AAPL,NYSE
1/21/2020,110843200,78.34780121,AAPL,NYSE
1/22/2020,101832400,78.62746429,AAPL,NYSE
1/23/2020,104472000,79.00611877,AAPL,NYSE
1/24/2020,146537600,78.77843475,AAPL,NYSE
1/27/2020,161940000,76.46192932,AAPL,NYSE
1/28/2020,162234000,78.62499237,AAPL,NYSE
1/29/2020,216229200,80.2707901,AAPL,NYSE
1/30/2020,126743200,80.15447235,AAPL,NYSE
1/31/2020,199588400,76.60051727,AAPL,NYSE
2/3/2020,173985600,76.39015961,AAPL,NYSE
2/4/2020,136616400,78.91207886,AAPL,NYSE
2/5/2020,118826800,79.55554962,AAPL,NYSE
2/6/2020,105425600,80.48610687,AAPL,NYSE
2/7/2020,117684000,79.39208984,AAPL,NYSE
2/10/2020,109348800,79.76916504,AAPL,NYSE
2/11/2020,94323200,79.28788757,AAPL,NYSE
2/12/2020,113730400,81.17079926,AAPL,NYSE
2/13/2020,94747600,80.59277344,AAPL,NYSE
2/14/2020,80113600,80.61262512,AAPL,NYSE
2/18/2020,152531200,79.13656616,AAPL,NYSE
2/19/2020,93984000,80.28268433,AAPL,NYSE
2/20/2020,100566000,79.4590683,AAPL,NYSE
2/21/2020,129554000,77.6605072,AAPL,NYSE
2/24/2020,222195200,73.97160339,AAPL,NYSE
2/25/2020,230673600,71.46601868,AAPL,NYSE
2/26/2020,198054800,72.59973907,AAPL,NYSE
2/27/2020,320605600,67.85401917,AAPL,NYSE
2/28/2020,426884800,67.81433105,AAPL,NYSE
3/2/2020,341397200,74.12789154,AAPL,NYSE
3/3/2020,319475600,71.77363586,AAPL,NYSE
3/4/2020,219178400,75.10282898,AAPL,NYSE
3/5/2020,187572800,72.66672516,AAPL,NYSE
3/6/2020,226176800,71.70170593,AAPL,NYSE
3/9/2020,286744800,66.03065491,AAPL,NYSE
3/10/2020,285290000,70.78630066,AAPL,NYSE
3/11/2020,255598800,68.32785797,AAPL,NYSE
3/12/2020,418474000,61.58015823,AAPL,NYSE
3/13/2020,370732000,68.95796967,AAPL,NYSE
3/16/2020,322423600,60.08673096,AAPL,NYSE
3/17/2020,324056000,62.72875214,AAPL,NYSE
3/18/2020,300233600,61.1931572,AAPL,NYSE
3/19/2020,271857200,60.72429276,AAPL,NYSE
3/20/2020,401693200,56.86917877,AAPL,NYSE
3/23/2020,336752800,55.66104126,AAPL,NYSE
3/24/2020,287531200,61.24525833,AAPL,NYSE
3/25/2020,303602000,60.90787125,AAPL,NYSE
3/26/2020,252087200,64.11302948,AAPL,NYSE
3/27/2020,204216800,61.45860291,AAPL,NYSE
3/30/2020,167976400,63.21250153,AAPL,NYSE
3/31/2020,197002000,63.08350372,AAPL,NYSE
4/1/2020,176218400,59.76424026,AAPL,NYSE
4/2/2020,165934000,60.76150131,AAPL,NYSE
4/3/2020,129880000,59.88827515,AAPL,NYSE
4/6/2020,201820400,65.11277008,AAPL,NYSE
4/7/2020,202887200,64.35862732,AAPL,NYSE
4/8/2020,168895200,66.00585175,AAPL,NYSE
4/9/2020,162116400,66.48215485,AAPL,NYSE
4/13/2020,131022800,67.78704071,AAPL,NYSE
4/14/2020,194994800,71.210495,AAPL,NYSE
4/15/2020,131154400,70.56053925,AAPL,NYSE
4/16/2020,157125200,71.12120056,AAPL,NYSE
4/17/2020,215250000,70.15617371,AAPL,NYSE
4/20/2020,130015200,68.69997406,AAPL,NYSE
4/21/2020,180991600,66.57642365,AAPL,NYSE
4/22/2020,117057200,68.49406433,AAPL,NYSE
4/23/2020,124814400,68.22862244,AAPL,NYSE
4/24/2020,126508800,70.198349,AAPL,NYSE
4/27/2020,117087600,70.24797058,AAPL,NYSE
4/28/2020,112004800,69.10929871,AAPL,NYSE
4/29/2020,137280800,71.37919617,AAPL,NYSE
4/30/2020,183064000,72.88502502,AAPL,NYSE
5/1/2020,240616800,71.71163177,AAPL,NYSE
5/4/2020,133568000,72.72626495,AAPL,NYSE
5/5/2020,147751200,73.81780243,AAPL,NYSE
5/6/2020,142333600,74.57939148,AAPL,NYSE
5/7/2020,115215200,75.350914,AAPL,NYSE
5/8/2020,134048000,77.14439392,AAPL,NYSE
5/11/2020,145946400,78.358284,AAPL,NYSE
5/12/2020,162301200,77.46279144,AAPL,NYSE
5/13/2020,200622400,76.52749634,AAPL,NYSE
5/14/2020,158929200,76.99763489,AAPL,NYSE
5/15/2020,166348400,76.5424118,AAPL,NYSE
5/18/2020,135372400,78.34584808,AAPL,NYSE
5/19/2020,101729600,77.89312744,AAPL,NYSE
5/20/2020,111504800,79.40800476,AAPL,NYSE
5/21/2020,102688800,78.815979,AAPL,NYSE
5/22/2020,81803200,79.32343292,AAPL,NYSE
5/26/2020,125522000,78.78613281,AAPL,NYSE
5/27/2020,112945200,79.12940216,AAPL,NYSE
5/28/2020,133560800,79.16423035,AAPL,NYSE
5/29/2020,153598000,79.08712006,AAPL,NYSE
6/1/2020,80791200,80.0597229,AAPL,NYSE
6/2/2020,87642800,80.43035126,AAPL,NYSE
6/3/2020,104491200,80.8731308,AAPL,NYSE
6/4/2020,87560400,80.17663574,AAPL,NYSE
6/5/2020,137250400,82.46015167,AAPL,NYSE
6/8/2020,95654400,82.94768524,AAPL,NYSE
6/9/2020,147712400,85.56700897,AAPL,NYSE
6/10/2020,166651600,87.76844025,AAPL,NYSE
6/11/2020,201662400,83.55464172,AAPL,NYSE
6/12/2020,200146000,84.27600861,AAPL,NYSE
6/15/2020,138808800,85.31826019,AAPL,NYSE
6/16/2020,165428800,87.57939148,AAPL,NYSE
6/17/2020,114406400,87.45750427,AAPL,NYSE
6/18/2020,96820400,87.49233246,AAPL,NYSE
6/19/2020,264476000,86.99234772,AAPL,NYSE
6/22/2020,135445200,89.26839447,AAPL,NYSE
6/23/2020,212155600,91.17380524,AAPL,NYSE
6/24/2020,192623200,89.56440735,AAPL,NYSE
6/25/2020,137522400,90.7534256,AAPL,NYSE
6/26/2020,205256800,87.96495056,AAPL,NYSE
6/29/2020,130646000,89.99225616,AAPL,NYSE
6/30/2020,140223200,90.74346924,AAPL,NYSE
7/1/2020,110737200,90.57183838,AAPL,NYSE
7/2/2020,114041600,90.57183838,AAPL,NYSE
7/6/2020,118655600,92.99465179,AAPL,NYSE
7/7/2020,112424400,92.70609283,AAPL,NYSE
7/8/2020,117092000,94.86523438,AAPL,NYSE
7/9/2020,125642800,95.27319336,AAPL,NYSE
7/10/2020,90257200,95.43984222,AAPL,NYSE
7/13/2020,191649200,94.9995575,AAPL,NYSE
7/14/2020,170989200,96.57165527,AAPL,NYSE
7/15/2020,153198000,97.23580933,AAPL,NYSE
7/16/2020,110577600,96.03932953,AAPL,NYSE
7/17/2020,92186800,95.84529877,AAPL,NYSE
7/20/2020,90318000,97.86514282,AAPL,NYSE
7/21/2020,103646000,96.51444244,AAPL,NYSE
7/22/2020,89001600,96.78556824,AAPL,NYSE
7/23/2020,197004400,92.38023376,AAPL,NYSE
